metric,better,worse,delta,win_rate_%,p_raw,p_holm,signif,a_only,b_only
dice,vgg16,efficientnet_b2,0.034410575767644155,23.824451410658305,5.3261528744417896e-05,0.00021304611497767158,yes,,
dice,vgg16,resnet50,0.03496596051743356,24.76489028213166,2.2679983580921734e-05,0.00011339991790460868,yes,,
dice,vgg16,densenet121,0.05180961329777331,26.332288401253916,1.2100172766511412e-07,7.260103659906848e-07,yes,,
dice,efficientnet_b2,resnet50,0.0005553847497894032,20.689655172413794,0.8600617332662811,0.8600617332662811,no,,
dice,efficientnet_b2,densenet121,0.017399037530129155,26.64576802507837,0.0008158217088723662,0.0024474651266170985,yes,,
dice,resnet50,densenet121,0.016843652780339752,22.884012539184955,0.053816173269542786,0.10763234653908557,no,,
iou,vgg16,efficientnet_b2,0.029639424106787715,23.824451410658305,1.3841172879412173e-05,6.432486420824602e-05,yes,,
iou,vgg16,resnet50,0.027400396929446603,24.76489028213166,1.2864972841649206e-05,6.432486420824602e-05,yes,,
iou,vgg16,densenet121,0.04096133269215396,26.332288401253916,6.007284817829424e-08,3.604370890697655e-07,yes,,
iou,efficientnet_b2,resnet50,-0.0022390271773411116,20.689655172413794,0.9955202935204407,0.9955202935204407,no,,
iou,efficientnet_b2,densenet121,0.011321908585366247,26.64576802507837,0.0007833858137912385,0.0023501574413737156,yes,,
iou,resnet50,densenet121,0.013560935762707359,22.884012539184955,0.04347014565136366,0.08694029130272732,no,,
pointing,vgg16,efficientnet_b2,8.150470219435736,,6.87711149112147e-05,0.0003309384919703007,yes,34.0,8.0
pointing,vgg16,resnet50,7.836990595611285,,4.12575900554657e-05,0.0002475455403327942,yes,31.0,6.0
pointing,vgg16,densenet121,7.210031347962382,,6.618769839406013e-05,0.0003309384919703007,yes,28.0,5.0
pointing,efficientnet_b2,resnet50,-0.31347962382445166,,1.0,1.0,no,11.0,12.0
pointing,efficientnet_b2,densenet121,-0.9404388714733536,,0.720100131817162,1.0,no,14.0,17.0
pointing,resnet50,densenet121,-0.6269592476489019,,0.8555355519056321,1.0,no,14.0,16.0
