peak_in_padding,pointing_hit,peak_dist_px,pointing_hit_tol,energy_concentration,chance_rate,concentration_ratio,pixel_ap,pixel_auroc,iou@0.05,dice@0.05,iou@0.10,dice@0.10,iou@0.15,dice@0.15,iou@0.20,dice@0.20,iou@0.25,dice@0.25,iou@0.30,dice@0.30,iou@0.35,dice@0.35,iou@0.40,dice@0.40,iou@0.45,dice@0.45,iou@0.50,dice@0.50,iou@0.55,dice@0.55,iou@0.60,dice@0.60,iou@0.65,dice@0.65,iou@0.70,dice@0.70,iou@0.75,dice@0.75,iou@0.80,dice@0.80,iou@0.85,dice@0.85,iou@0.90,dice@0.90,iou@0.95,dice@0.95,row_idx,prob_malignant,label
False,False,288.3400769924292,False,0.005961199715937774,0.02784276832460733,0.21410226333957205,0.019447584763952985,0.3214764190625263,0.009789380005932958,0.019388954171562868,0.001548666101744441,0.0030925428871513595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5039529204368591,1
False,False,16.0,False,0.034991483865388105,0.026399101307189542,1.3254801160923804,0.03465425636752238,0.60309104815114,0.03239649618980281,0.06275979492252523,0.03612431779615673,0.06972969782813976,0.02968561207325452,0.057659564677189266,0.028215006420840214,0.05488153011704253,0.026485955201489834,0.05160510003527692,0.024801250254807367,0.04840206869115502,0.02231461055489564,0.043655075109967634,0.018622555139409074,0.03656419160453478,0.01401982112642011,0.02765196662693683,0.008981640470215295,0.017803377405419558,0.00487397298426403,0.009700665188470067,0.0018648687419308564,0.0037227949599083618,0.00029437739181630853,0.0005885815185403178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5295574069023132,1
False,False,241.5719354560873,False,0.00020173079883210486,0.0007264760147601476,0.27768404563047827,0.000685548255701231,0.48467209987341076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6759384274482727,0
False,False,122.57650672131263,False,8.017658774368448e-05,0.0004515105078809107,0.1775741346972852,0.0003975706344908654,0.4547853227135959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.17067791521549225,0
False,False,155.46382215808282,False,0.0022019764880161757,0.011255837711617046,0.1956297296063123,0.009174444469160293,0.4372274847003433,0.00028845807141741084,0.0005767497747071193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.17067791521549225,0
False,False,301.50456049618884,False,0.0,0.00048491379310344827,0.0,0.00048491379310344827,0.1203618852532658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.28266847133636475,0
False,False,149.21796138535066,False,0.005424849436295284,0.008463541666666666,0.640966825703812,0.009604515844978128,0.591869205851747,0.010729475447866994,0.02123115177404444,0.0002844275894761792,0.000568693426851808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.28266847133636475,0
False,False,268.4026825499328,False,0.0006796792284264408,0.005104347511574074,0.13315692689129663,0.003848117912599682,0.34546045628861727,0.0006260540706291204,0.0012513247443083878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.3387489914894104,0
False,False,181.46625030566977,False,0.016241377054887995,0.00892920197740113,1.8189057763496905,0.016443455534986065,0.6943996391004863,0.01723698507022227,0.03388981195769707,0.023259616563790213,0.045461808884627676,0.022784582132564842,0.04455401954741569,0.01126413717621306,0.022277339346110484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.25545480847358704,0
False,False,24.08318915758459,False,0.0026432296042520577,0.0007766812865497076,3.4032358575217083,0.0035409056025148583,0.8693985589297675,0.003744420812988647,0.007460904858541244,0.005087687795534806,0.010123868508813721,0.004096535755632737,0.008159645232815965,0.002082312591866732,0.004155971152670823,0.00016744809109176155,0.0003348401138456387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.16422609984874725,0
